Frac_B,N,N_a,N_b,Med_KE_A,Med_KE_B,Radius,Med_KE,Q1_KE,Q3_KE,Med_time,Q1_endtime,Q3_endtime,Med_AUDPC,Q1_AUDPC,Q3_AUDPC,Med_AUDPC_SPS,Q1_AUDPC_SPS,Q3_AUDPC_SPS,Q1_AUDPC_A,Q3_AUDPC_A,Med_AUDPC_A,Q1_AUDPC_B,Q3_AUDPC_B,Med_AUDPC_B
0,1110,1110,0,645.5,0,650,645.5,585,702,434.7,330.5,591.3,117012.3,92563,137922.2,2341.2,1852.6,2766.9,92563,137922.2,117012.3,0,0,0
0,1110,1110,0,676,0,700,676,608.5,734.8,378.7,314.4,507.9,113910.2,93572.4,137889.7,2278.2,1871.4,2758.5,93572.4,137889.7,113910.2,0,0,0
0,1110,1110,0,712.5,0,750,712.5,648.5,757,377,296.1,503.3,114999,95420.7,141245.9,2307.4,1909.3,2832.2,95420.7,141245.9,114999,0,0,0
0,1110,1110,0,733,0,800,733,661.2,808,352.4,275.8,472,114608.2,91255,142414.2,2292.2,1828.7,2848.3,91255,142414.2,114608.2,0,0,0
0,1110,1110,0,785.5,0,850,785.5,701.8,853.8,359,272.9,472.1,121954.3,94154.5,151744.7,2448.5,1883.1,3041.8,94154.5,151744.7,121954.3,0,0,0
0,1110,1110,0,810.5,0,900,810.5,718,869,334.1,262.8,465.4,121658.9,95451.8,147860,2433.2,1913.7,2959.2,95451.8,147860,121658.9,0,0,0
0,1110,1110,0,835,0,950,835,768.2,906,330.4,254.7,429.7,124212.5,100636.8,157818.2,2484.2,2018.6,3163.3,100636.8,157818.2,124212.5,0,0,0
0,1110,1110,0,856.5,0,1000,856.5,777.2,927,318.4,249.6,419.3,122829.9,97432.9,152022.7,2459.4,1948.7,3040.9,97432.9,152022.7,122829.9,0,0,0
0,1110,1110,0,889.5,0,1050,889.5,809,939,301.9,226.2,385.1,119201.7,96138.4,147106.5,2389.8,1924.9,2942.1,96138.4,147106.5,119201.7,0,0,0
0,1110,1110,0,904,0,1100,904,828.2,970,301.6,220.6,407,125481.1,94145.1,151719.8,2511.4,1882.9,3040.6,94145.1,151719.8,125481.1,0,0,0
0,1110,1110,0,912,0,1150,912,845.2,975.5,279.3,212.3,371.8,118270.6,96948.4,146258.5,2368.4,1939,2925.2,96948.4,146258.5,118270.6,0,0,0
0,1110,1110,0,942.5,0,1200,942.5,867.2,1005.8,292.8,204.6,412,122134.9,94294.5,150148.9,2445.6,1888.3,3003,94294.5,150148.9,122134.9,0,0,0
0.2,1110,888,222,863,221,0,1083,1078,1088,3873.8,3579.1,4202.1,486535.1,476646.9,495374.3,9730.7,9532.9,9907.5,329720.8,344400.8,336817.9,144143.8,154158.6,148856.2
0.2,1110,888,222,853,219,50,1072,1065,1077,3789.9,3542.3,4096.2,438505,427626.7,447962.6,8770.1,8552.5,8959.3,304537.7,321789.8,313440.6,119689,130182,124255.8
0.2,1110,888,222,826,213,100,1040,1027,1049,3515.1,3197.2,3933.1,413841.8,395680.7,434197.1,8276.8,7914.9,8683.9,303160.8,335967.1,321165.3,89604.8,98665.3,93463.8
