	Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B	Med_KE_A_singlenorm	Med_KE_B_singlenorm	Med_KE_A_doublenorm	Med_KE_B_doublenorm	Med_AUDPC_A_single	Med_AUDPC_B_single	Med_AUDPC_A_double	Med_AUDPC_B_double	KE_ratio_single	KE_ratio_unnorm
10	0.0	1110	1110	0	544.0	0.0	500	544.0	480.0	633.5	584.9	447.2	758.2	114310.2	86926.0	147581.6	2286.2	1743.6	2951.6	86926.0	147581.6	114310.2	0.0	0.0	0.0	0.4900900900900901		24.504504504504503		102.98216216216215		5149.108108108108			inf
11	0.0	1110	1110	0	556.5	0.0	550	556.5	494.2	626.5	495.3	371.3	690.4	109488.2	83101.3	134353.5	2193.2	1663.6	2692.5	83101.3	134353.5	109488.2	0.0	0.0	0.0	0.5013513513513513		25.067567567567565		98.63801801801802		4931.9009009009005			inf
12	0.0	1110	1110	0	596.0	0.0	600	596.0	537.5	669.0	469.6	357.6	599.1	108861.1	87191.8	134090.8	2177.2	1750.5	2684.2	87191.8	134090.8	108861.1	0.0	0.0	0.0	0.5369369369369369		26.846846846846844		98.07306306306307		4903.653153153154			inf
13	0.0	1110	1110	0	645.5	0.0	650	645.5	585.0	702.0	434.7	330.5	591.3	117012.3	92563.0	137922.2	2341.2	1852.6	2766.9	92563.0	137922.2	117012.3	0.0	0.0	0.0	0.5815315315315316		29.076576576576578		105.41648648648649		5270.824324324325			inf
14	0.0	1110	1110	0	676.0	0.0	700	676.0	608.5	734.8	378.7	314.4	507.9	113910.2	93572.4	137889.7	2278.2	1871.4	2758.5	93572.4	137889.7	113910.2	0.0	0.0	0.0	0.609009009009009		30.45045045045045		102.6218018018018		5131.09009009009			inf
15	0.0	1110	1110	0	712.5	0.0	750	712.5	648.5	757.0	377.0	296.1	503.3	114999.0	95420.7	141245.9	2307.4	1909.3	2832.2	95420.7	141245.9	114999.0	0.0	0.0	0.0	0.6418918918918919		32.0945945945946		103.6027027027027		5180.135135135135			inf
16	0.0	1110	1110	0	733.0	0.0	800	733.0	661.2	808.0	352.4	275.8	472.0	114608.2	91255.0	142414.2	2292.2	1828.7	2848.3	91255.0	142414.2	114608.2	0.0	0.0	0.0	0.6603603603603604		33.01801801801802		103.25063063063062		5162.531531531532			inf
17	0.0	1110	1110	0	785.5	0.0	850	785.5	701.8	853.8	359.0	272.9	472.1	121954.3	94154.5	151744.7	2448.5	1883.1	3041.8	94154.5	151744.7	121954.3	0.0	0.0	0.0	0.7076576576576576		35.38288288288288		109.86873873873874		5493.436936936937			inf
18	0.0	1110	1110	0	810.5	0.0	900	810.5	718.0	869.0	334.1	262.8	465.4	121658.9	95451.8	147860.0	2433.2	1913.7	2959.2	95451.8	147860.0	121658.9	0.0	0.0	0.0	0.7301801801801802		36.509009009009006		109.6026126126126		5480.130630630631			inf
19	0.0	1110	1110	0	835.0	0.0	950	835.0	768.2	906.0	330.4	254.7	429.7	124212.5	100636.8	157818.2	2484.2	2018.6	3163.3	100636.8	157818.2	124212.5	0.0	0.0	0.0	0.7522522522522522		37.61261261261261		111.90315315315316		5595.157657657658			inf
20	0.0	1110	1110	0	856.5	0.0	1000	856.5	777.2	927.0	318.4	249.6	419.3	122829.9	97432.9	152022.7	2459.4	1948.7	3040.9	97432.9	152022.7	122829.9	0.0	0.0	0.0	0.7716216216216216		38.58108108108108		110.65756756756757		5532.878378378378			inf
21	0.0	1110	1110	0	889.5	0.0	1050	889.5	809.0	939.0	301.9	226.2	385.1	119201.7	96138.4	147106.5	2389.8	1924.9	2942.1	96138.4	147106.5	119201.7	0.0	0.0	0.0	0.8013513513513514		40.067567567567565		107.38891891891892		5369.445945945946			inf
22	0.0	1110	1110	0	904.0	0.0	1100	904.0	828.2	970.0	301.6	220.6	407.0	125481.1	94145.1	151719.8	2511.4	1882.9	3040.6	94145.1	151719.8	125481.1	0.0	0.0	0.0	0.8144144144144144		40.72072072072072		113.04603603603604		5652.301801801802			inf
23	0.0	1110	1110	0	912.0	0.0	1150	912.0	845.2	975.5	279.3	212.3	371.8	118270.6	96948.4	146258.5	2368.4	1939.0	2925.2	96948.4	146258.5	118270.6	0.0	0.0	0.0	0.8216216216216217		41.08108108108108		106.5500900900901		5327.504504504505			inf
24	0.0	1110	1110	0	942.5	0.0	1200	942.5	867.2	1005.8	292.8	204.6	412.0	122134.9	94294.5	150148.9	2445.6	1888.3	3003.0	94294.5	150148.9	122134.9	0.0	0.0	0.0	0.8490990990990991		42.45495495495496		110.03144144144143		5501.572072072072			inf
25	0.2	1110	888	222	863.0	221.0	0	1083.0	1078.0	1088.0	3873.8	3579.1	4202.1	486535.1	476646.9	495374.3	9730.7	9532.9	9907.5	329720.8	344400.8	336817.9	144143.8	154158.6	148856.2	0.9718468468468469	0.9954954954954955	48.59234234234234	49.77477477477478	379.29943693693696	670.5234234234234	18964.971846846845	33526.17117117117	1.0243337195828506	3.9049773755656108
26	0.2	1110	888	222	853.0	219.0	50	1072.0	1065.0	1077.0	3789.9	3542.3	4096.2	438505.0	427626.7	447962.6	8770.1	8552.5	8959.3	304537.7	321789.8	313440.6	119689.0	130182.0	124255.8	0.9605855855855856	0.9864864864864865	48.02927927927928	49.32432432432432	352.97364864864863	559.7108108108108	17648.68243243243	27985.54054054054	1.0269636576787808	3.894977168949772
27	0.2	1110	888	222	826.0	213.0	100	1040.0	1027.0	1049.0	3515.1	3197.2	3933.1	413841.8	395680.7	434197.1	8276.8	7914.9	8683.9	303160.8	335967.1	321165.3	89604.8	98665.3	93463.8	0.9301801801801802	0.9594594594594594	46.50900900900901	47.97297297297297	361.6726351351351	421.0081081081081	18083.631756756753	21050.405405405403	1.0314769975786924	3.8779342723004695
28	0.2	1110	888	222	788.0	204.0	150	992.0	964.2	1013.0	3142.4	2734.6	3633.3	431089.6	403541.3	467201.8	8621.8	8070.8	9344.0	322720.6	375156.5	347624.5	78894.8	91865.6	84564.9	0.8873873873873874	0.918918918918919	44.36936936936937	45.94594594594595	391.4690315315315	380.92297297297296	19573.451576576575	19046.148648648646	1.0355329949238579	3.8627450980392157
