# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7fc55e39ea20>; Scale Parameter = 119m ; Sps Parameters = [[0.02       0.09       0.00285714 0.00053   ]
 [0.02       0.14       0.00285714 0.00053   ]]
# control_start = random
Frac_B	N	N_a	N_b	Radius	Med_KE_A	Med_KE_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.2	1110	888	222	826.0	213.0	100	1040.0	1027.0	1049.0	3515.1	3197.2	3933.1	413841.8	395680.7	434197.1	8276.8	7914.9	8683.9	303160.8	335967.1	321165.3	89604.8	98665.3	93463.8
0.2	1110	888	222	788.0	204.0	150	992.0	964.2	1013.0	3142.4	2734.6	3633.3	431089.6	403541.3	467201.8	8621.8	8070.8	9344.0	322720.6	375156.5	347624.5	78894.8	91865.6	84564.9
0.2	1110	888	222	712.5	184.0	200	898.0	840.5	950.8	2644.9	2299.9	3057.5	413120.2	357558.8	468190.9	8262.4	7153.7	9363.8	290579.1	380613.2	335746.4	67108.7	88562.2	77603.9
0.2	1110	888	222	608.5	155.5	250	764.5	668.2	853.8	2102.7	1762.6	2449.7	329134.2	261176.4	393235.3	6582.7	5223.5	7869.0	213866.4	318666.1	266723.0	49950.7	73510.5	61981.5
0.2	1110	888	222	547.0	139.5	300	689.0	576.0	771.0	1575.1	1267.8	1985.4	257314.7	191683.2	321060.2	5146.3	3833.7	6421.2	153920.8	261014.2	208101.7	37003.7	60785.2	48643.5
0.2	1110	888	222	490.5	124.0	350	608.5	498.0	727.5	1214.5	910.2	1584.3	199180.6	136299.8	263032.1	3983.6	2728.7	5264.0	110790.6	210662.3	159852.2	25945.2	50671.7	38421.5
0.2	1110	888	222	476.5	120.0	400	591.0	511.5	687.0	957.6	759.3	1290.3	170346.8	126843.5	217845.8	3406.9	2541.0	4356.9	102419.8	177293.6	137671.6	23924.5	42087.8	32104.5
0.2	1110	888	222	474.5	121.0	450	591.5	511.8	682.8	804.3	596.9	1054.9	155538.0	113817.5	196865.8	3113.8	2277.5	3937.3	92166.0	157305.4	125189.5	20999.4	37952.0	30017.5
0.2	1110	888	222	483.0	121.0	500	603.5	526.2	696.8	691.9	541.1	892.2	137916.3	103329.4	175269.2	2762.0	2069.2	3508.5	82884.2	140777.7	111453.3	20598.2	35259.7	26858.1
0.2	1110	888	222	495.5	128.0	550	623.0	565.8	710.5	632.2	507.6	809.2	140608.5	109437.2	173794.5	2818.3	2195.0	3480.5	87402.3	141045.0	112489.1	21417.5	34120.0	27391.5
