# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7f8efa4be840>; Scale Parameter = 119m ; Sps Parameters = [[0.02       0.09       0.00285714 0.00053   ]
 [0.02       0.14       0.002      0.00053   ]]
# control_start = random
Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.0	1110	1110	0	935.5	0.0	1150	935.5	861.5	993.0	299.4	226.1	385.7	126760.5	100870.9	151783.7	2536.4	2022.6	3035.7	100870.9	151783.7	126760.5	0.0	0.0	0.0
0.0	1110	1110	0	945.0	0.0	1200	945.0	875.0	1009.8	280.5	200.9	386.3	120450.5	93782.8	150453.3	2409.4	1875.7	3009.1	93782.8	150453.3	120450.5	0.0	0.0	0.0
0.2	1110	888	222	858.0	220.0	0	1078.0	1072.0	1083.0	4008.4	3695.6	4480.5	455783.1	444342.5	465339.2	9115.7	8886.8	9306.8	327266.3	343383.3	335597.9	115184.2	124016.4	120411.0
0.2	1110	888	222	844.0	218.0	50	1062.5	1055.0	1069.0	3845.8	3534.2	4294.4	416259.3	406683.4	425112.1	8325.2	8133.7	8502.2	306696.2	322901.1	314703.5	96297.3	105577.6	100804.7
0.2	1110	888	222	809.0	210.0	100	1019.0	1006.0	1034.0	3599.1	3256.2	3924.3	410434.9	389909.8	434368.5	8211.1	7798.2	8687.4	308732.3	348727.8	327223.8	77812.7	87879.7	82641.4
0.2	1110	888	222	762.0	195.0	150	959.0	909.0	992.0	3144.1	2712.7	3665.8	424299.3	387968.2	464721.3	8486.4	7767.5	9294.4	315499.1	379273.9	344623.1	71426.5	85481.9	78008.6
0.2	1110	888	222	653.0	166.0	200	819.5	732.5	881.5	2480.1	2045.6	3037.4	371963.5	315856.7	441544.5	7439.3	6320.7	8830.9	257619.9	363057.5	302361.9	58115.5	79805.6	67919.3
0.2	1110	888	222	548.0	139.0	250	685.5	587.0	786.8	1769.1	1443.0	2207.3	265454.2	210509.5	329728.7	5309.1	4210.2	6594.6	170293.6	270197.8	216196.9	38104.2	62180.8	49549.3
0.2	1110	888	222	473.0	119.5	300	592.0	492.2	694.2	1357.0	1041.3	1758.4	203748.1	143605.3	274643.6	4075.0	2872.1	5492.9	116345.5	220557.8	167669.6	26408.4	49736.3	37731.2
0.2	1110	888	222	431.0	109.0	350	540.0	463.2	649.2	1079.0	790.3	1376.6	157800.6	118324.2	208138.6	3156.0	2369.9	4162.8	95421.1	169185.3	128493.9	21831.0	39574.2	30014.5
0.2	1110	888	222	448.0	112.5	400	558.5	485.0	656.8	891.0	663.8	1076.9	147759.9	108337.6	196714.8	2955.2	2166.8	3934.3	88874.2	158519.3	119209.0	20416.5	37264.5	28375.5
0.2	1110	888	222	458.0	116.0	450	573.5	501.8	654.0	757.6	551.9	1009.9	134048.0	100155.5	176144.0	2683.7	2006.8	3525.5	80339.1	143520.6	109674.2	18936.9	33350.3	25859.0
0.2	1110	888	222	467.5	117.0	500	584.5	506.0	662.2	668.3	500.1	867.1	125707.1	96419.3	160471.0	2516.7	1928.8	3209.4	76282.3	129494.5	99789.3	18217.0	31607.0	24292.5
0.2	1110	888	222	495.0	122.0	550	617.5	551.0	698.0	570.7	446.4	768.1	124246.0	96406.6	159562.9	2487.6	1928.4	3198.5	78460.8	129373.1	100098.2	18825.8	30829.2	24254.6
0.2	1110	888	222	525.0	130.0	600	651.0	588.8	725.2	500.3	380.3	658.2	123512.8	97913.5	150983.8	2473.9	1961.7	3025.0	79241.2	121540.6	99836.9	19286.0	29672.5	24103.5
0.2	1110	888	222	547.0	135.0	650	681.0	598.2	736.8	483.3	360.4	649.5	121154.4	93871.9	150257.9	2427.5	1877.4	3005.2	75015.8	118799.1	96836.6	18053.1	28965.6	23429.3
0.2	1110	888	222	560.0	139.0	700	694.0	626.2	770.0	395.4	307.4	571.3	117293.0	89198.0	146157.0	2345.9	1789.7	2923.1	72409.2	117891.6	94343.6	17841.2	27992.6	22676.1
0.2	1110	888	222	580.5	146.5	750	725.5	647.2	801.5	391.7	291.1	512.7	119676.0	96445.1	139815.0	2394.0	1932.5	2796.3	78612.9	112613.8	96120.0	19332.2	27770.5	23351.4
0.2	1110	888	222	613.0	153.0	800	764.5	691.5	822.8	374.6	272.1	493.0	118459.8	93951.6	143910.1	2369.2	1879.0	2879.5	75511.2	114958.1	94559.2	18080.0	28463.7	23665.8
0.2	1110	888	222	638.0	157.5	850	797.0	729.0	853.8	332.6	261.4	469.9	121329.2	98932.1	146632.0	2426.6	1981.5	2933.1	79260.4	117209.7	97672.6	19480.2	28698.7	24011.7
0.2	1110	888	222	648.5	162.0	900	816.5	726.2	887.0	351.2	258.6	434.0	117368.2	97471.1	147404.8	2347.4	1949.4	2948.1	78032.8	118880.0	95185.8	19083.7	29412.7	23191.4
0.2	1110	888	222	675.5	168.0	950	847.5	770.0	915.8	327.0	259.4	425.7	125656.4	102292.8	150366.0	2513.1	2045.9	3007.3	83227.6	120522.7	100518.0	19818.3	29474.4	24971.1
0.2	1110	888	222	700.0	174.0	1000	874.5	805.5	938.0	315.7	247.9	427.8	121010.1	104211.9	144553.2	2420.2	2086.0	2891.1	82513.7	116399.8	97621.6	20845.9	28551.4	23959.4
0.2	1110	888	222	707.0	176.0	1050	882.5	814.8	956.0	308.2	243.0	392.3	122112.9	94659.0	147384.9	2445.7	1893.2	2947.7	76417.4	118589.5	97210.4	18826.9	29041.0	23831.1
0.2	1110	888	222	727.5	181.0	1100	907.0	836.2	976.0	309.4	234.0	406.1	122647.4	97081.2	147312.2	2452.9	1941.6	2946.2	78788.9	118325.5	97768.6	19424.5	28979.7	24174.0
0.2	1110	888	222	750.5	188.0	1150	937.0	876.5	993.5	290.2	221.1	399.2	121049.4	93578.5	147828.8	2427.4	1873.8	2956.6	75090.1	119129.6	97197.6	18692.1	29702.9	23981.8
0.2	1110	888	222	762.5	190.5	1200	951.5	873.2	1010.0	278.5	199.2	382.8	120199.7	92305.0	148595.8	2404.0	1846.1	2973.0	74181.4	118435.3	96524.1	18146.6	29566.0	23767.3
