# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7f53d596ec00>; Scale Parameter = 119m ; Sps Parameters = [[0.015      0.14       0.00285714 0.00053   ]
 [0.015      0.14       0.002      0.00053   ]]
# control_start = random
Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS
0.2	500	600.0		516.2	676.8	622.9	492.6	854.3	124512.5	96613.2	155339.5	1869.3	1453.4	2332.8
0.2	550	611.0		542.0	693.2	560.0	404.9	716.0	119776.0	90556.3	155102.8	1796.6	1359.5	2326.5
0.2	600	640.5		575.2	718.0	471.9	376.0	619.6	117743.7	90106.9	149558.9	1768.2	1352.9	2247.3
0.2	650	673.0		612.2	737.5	425.7	340.9	574.3	111116.8	90148.0	148312.4	1668.9	1356.1	2224.7
0.2	700	715.5		646.2	780.0	425.3	317.3	544.8	120813.8	98414.5	148506.2	1815.4	1479.0	2233.5
0.2	750	735.0		669.0	799.0	369.8	288.2	498.2	116366.6	99169.7	142693.2	1745.8	1490.7	2140.4
0.2	800	773.0		688.2	842.0	363.8	274.6	470.0	116798.8	92600.5	142193.6	1752.0	1391.3	2132.9
0.2	850	800.5		720.0	870.8	350.9	274.0	456.6	119934.1	99905.4	149254.9	1800.9	1498.6	2239.8
0.2	900	821.5		740.2	889.0	334.9	240.9	431.3	122067.4	97081.0	151174.2	1832.0	1458.5	2267.6
0.2	950	838.5		758.2	920.8	308.9	240.2	413.6	118738.1	94058.5	147887.2	1781.1	1410.9	2223.3
0.2	1000	888.0		800.5	942.8	315.7	228.2	412.4	121295.9	99009.6	148625.7	1819.4	1485.1	2229.4
0.2	1050	888.0		812.0	966.0	294.4	228.6	393.6	121756.3	94038.4	150953.6	1826.3	1410.6	2264.3
0.2	1100	923.5		860.5	988.0	280.6	221.6	392.2	121517.6	93422.4	146080.1	1822.8	1401.3	2191.2
0.2	1150	930.0		864.0	987.8	269.8	206.1	347.1	122094.1	99849.6	148165.4	1831.4	1500.9	2222.5
0.2	1200	949.0		880.5	1005.5	249.2	189.3	336.5	119329.0	93446.4	139449.3	1789.9	1401.7	2092.3
0.4	0	1091.0		1087.2	1095.0	4253.1	3891.2	4704.2	493907.9	482689.5	504249.8	7409.5	7240.3	7563.7
0.4	50	1080.0		1073.0	1085.0	4121.0	3730.8	4482.6	437337.2	426296.8	446476.6	6562.0	6394.5	6697.1
0.4	100	1044.0		1029.0	1054.0	3763.9	3333.1	4228.7	401425.8	385057.0	420939.2	6021.4	5779.9	6315.7
0.4	150	990.0		949.2	1011.8	3093.6	2669.0	3614.9	414079.9	380938.2	446177.2	6213.3	5714.1	6692.7
0.4	200	885.0		798.5	931.0	2564.9	2159.7	3029.7	389164.3	331162.0	448797.0	5841.1	4974.7	6737.4
0.4	250	748.0		637.5	847.0	1835.7	1513.5	2310.8	289821.0	234070.2	358216.2	4350.0	3515.2	5378.1
0.4	300	636.5		542.0	757.0	1411.3	1100.6	1834.2	218640.0	165068.8	288174.8	3283.1	2476.0	4322.6
0.4	350	596.0		501.0	690.0	1093.7	898.8	1390.7	179369.2	132775.0	229513.3	2693.9	1992.5	3444.8
0.4	400	573.5		495.0	661.8	881.9	680.2	1148.3	148829.7	107976.8	191313.4	2234.4	1620.4	2872.6
0.4	450	582.0		502.2	664.5	752.0	567.3	929.4	137271.2	105880.7	177372.6	2063.4	1589.8	2661.6
0.4	500	611.5		536.0	690.2	687.5	514.3	889.9	134301.0	102744.8	170716.3	2017.7	1544.0	2561.9
0.4	550	629.0		539.2	695.0	564.4	433.3	756.1	121557.2	92712.2	154993.8	1825.9	1392.6	2326.2
0.4	600	640.0		575.0	722.8	536.1	396.2	705.7	119603.0	94671.0	160641.8	1794.0	1423.6	2410.7
0.4	650	690.5		607.2	751.8	468.7	354.8	613.2	125258.9	96448.8	154534.5	1879.8	1450.5	2322.7
0.4	700	702.5		616.0	780.5	427.0	315.1	561.2	116409.3	95385.3	150301.6	1749.2	1431.8	2255.4
0.4	750	731.0		668.2	804.2	395.0	301.7	512.4	123243.3	100265.6	148946.0	1850.1	1507.6	2236.1
0.4	800	782.0		696.2	840.0	394.3	305.0	507.7	128850.8	106271.2	157422.7	1932.8	1594.1	2365.9
0.4	850	795.0		725.0	853.8	364.2	274.3	465.7	122882.5	97767.6	152572.5	1849.1	1466.5	2288.6
0.4	900	810.0		733.2	878.8	340.6	267.6	467.6	124087.2	97880.0	154315.6	1863.3	1470.7	2318.5
0.4	950	851.0		777.2	912.8	332.1	248.0	470.8	122462.1	95447.0	150184.0	1836.9	1431.8	2252.8
0.4	1000	868.0		802.5	941.0	329.3	248.4	439.3	127359.6	99171.5	152450.6	1913.0	1487.6	2288.7
0.4	1050	888.5		828.2	957.8	319.0	228.4	419.2	124166.3	100318.4	153260.1	1865.2	1507.8	2298.9
