# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7f48b84f2ca0>; Scale Parameter = 119m ; Sps Parameters = [[0.015      0.14       0.00285714 0.00053   ]
 [0.015      0.14       0.00285714 0.00053   ]]
# control_start = random
Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS
0.2	1100	922.0		826.2	985.5	319.1	237.4	421.7	131380.6	102548.8	164388.7	1974.2	1539.9	2466.3
0.2	1150	934.0		855.2	1000.0	288.9	221.5	374.5	122424.6	99645.0	150061.0	1838.9	1497.2	2250.9
0.2	1200	954.0		881.2	1010.5	279.7	212.5	373.7	128253.3	101902.6	150653.7	1924.5	1533.9	2259.8
0.4	0	1098.0		1095.0	1101.0	3906.2	3594.7	4243.8	558094.4	549084.1	566780.4	8371.4	8236.3	8501.7
0.4	50	1091.0		1087.0	1095.0	3836.2	3531.3	4154.6	486447.7	478444.9	496636.0	7299.0	7176.7	7449.5
0.4	100	1071.0		1062.2	1078.0	3614.3	3263.7	3993.0	418225.1	404953.9	432296.3	6273.4	6075.5	6484.4
0.4	150	1036.0		1015.2	1053.0	3233.8	2875.5	3641.1	414526.0	391702.8	447486.6	6217.9	5875.5	6712.3
0.4	200	979.5		920.8	1011.8	2785.1	2398.0	3259.4	422563.2	385891.6	464260.6	6338.4	5788.4	6963.9
0.4	250	856.0		756.2	939.8	2259.6	1951.8	2723.7	373301.0	306634.9	415114.8	5599.5	4603.5	6226.7
0.4	300	768.0		667.8	874.8	1848.1	1482.0	2179.6	300400.0	243791.1	366752.8	4513.3	3660.4	5501.3
0.4	350	681.5		569.0	778.8	1379.6	1062.1	1701.6	230267.4	168973.8	287340.3	3454.0	2539.7	4310.1
0.4	400	658.0		548.2	741.8	1174.9	902.6	1445.3	203218.0	141373.9	251412.3	3048.3	2120.6	3771.2
0.4	450	639.0		543.0	742.8	980.7	755.4	1193.8	178993.2	128273.4	227926.6	2686.8	1925.0	3418.9
0.4	500	651.0		559.8	750.8	818.4	614.1	1086.7	167032.0	124046.1	216829.9	2505.5	1861.9	3252.4
0.4	550	676.0		578.0	748.8	716.6	538.0	918.3	156445.7	117699.2	196401.1	2346.7	1766.9	2946.0
0.4	600	675.0		605.0	764.0	643.6	489.8	841.8	143406.7	113066.4	188566.9	2153.6	1700.4	2832.6
0.4	650	691.0		615.2	771.8	557.6	436.7	729.8	140644.8	109519.8	172806.5	2112.2	1647.0	2592.1
0.4	700	715.0		626.0	792.0	509.1	385.6	678.6	137249.3	104459.2	171720.9	2059.9	1571.6	2580.0
0.4	750	748.5		683.0	824.2	460.8	363.3	619.0	145702.6	111912.7	173929.4	2188.0	1678.7	2608.9
0.4	800	773.5		708.0	846.8	420.2	329.7	561.6	136530.8	113101.0	169885.2	2050.3	1696.5	2553.6
0.4	850	805.5		731.2	880.0	429.9	329.3	524.6	142072.1	115820.9	170588.6	2133.5	1739.2	2558.8
0.4	900	826.5		751.2	897.8	402.2	307.0	531.4	146242.2	117197.1	174467.7	2194.6	1760.5	2620.3
0.4	950	861.0		775.0	921.8	393.1	302.0	498.2	140528.5	115138.1	168529.5	2113.5	1729.9	2527.9
0.4	1000	886.5		812.2	962.8	347.4	266.8	472.4	138998.8	113528.9	172542.3	2085.0	1702.9	2588.1
0.4	1050	894.0		835.2	966.0	338.6	254.8	449.8	142388.1	110363.9	169968.9	2135.8	1655.5	2549.5
0.4	1100	910.5		846.0	984.0	349.4	261.7	444.3	142424.5	111655.9	167854.8	2136.4	1675.1	2517.8
0.4	1150	920.5		858.2	992.0	325.2	248.0	433.8	136994.4	108776.1	167451.9	2056.3	1631.6	2511.8
0.4	1200	947.0		875.5	1008.0	342.8	248.6	443.7	141341.7	115973.8	165139.1	2120.7	1739.6	2477.1
0.6000000000000001	0	1102.0		1099.0	1104.0	3962.5	3660.7	4310.8	621981.4	611246.4	632081.9	9329.7	9168.7	9481.2
0.6000000000000001	50	1098.0		1095.0	1101.0	3896.4	3638.7	4261.5	538926.0	530894.5	548888.5	8083.9	7963.4	8233.3
0.6000000000000001	100	1084.0		1077.0	1088.0	3678.2	3365.5	4076.8	442021.8	429416.5	455598.4	6630.3	6441.2	6834.0
0.6000000000000001	150	1063.0		1055.0	1073.0	3286.4	2991.5	3650.5	418380.2	401032.3	439433.1	6275.7	6015.5	6591.5
0.6000000000000001	200	1034.5		1001.2	1052.0	2878.3	2550.6	3377.1	432448.5	394246.0	467686.1	6490.4	5918.4	7015.3
0.6000000000000001	250	968.0		908.0	1008.5	2559.4	2219.4	2944.0	407983.6	365887.6	452042.2	6121.2	5488.3	6780.6
0.6000000000000001	300	895.5		816.2	951.8	2120.7	1815.2	2563.1	358536.6	309739.4	415518.9	5378.0	4646.1	6232.8
0.6000000000000001	350	815.0		692.5	887.0	1724.3	1440.5	2071.7	305278.7	239487.7	364025.1	4579.2	3592.3	5460.4
0.6000000000000001	400	778.5		667.2	869.0	1432.5	1200.1	1770.4	261792.4	204761.3	326980.4	3926.9	3071.4	4904.7
0.6000000000000001	450	736.5		636.2	819.2	1138.5	920.9	1458.1	228205.2	180289.1	278093.6	3425.5	2705.4	4171.4
0.6000000000000001	500	724.0		633.0	810.5	983.4	760.3	1261.1	207289.9	158290.5	251351.7	3112.2	2378.8	3770.3
0.6000000000000001	550	718.0		639.5	795.8	845.1	657.6	1079.9	193327.8	151754.3	228497.8	2899.9	2278.2	3427.8
0.6000000000000001	600	716.0		641.2	811.8	811.1	579.1	1027.0	174944.5	139053.9	220487.3	2624.7	2088.6	3307.3
0.6000000000000001	650	733.5		657.2	818.8	687.5	520.8	863.4	169054.0	133561.3	209273.7	2537.7	2004.3	3141.8
0.6000000000000001	700	768.0		682.2	834.8	591.4	460.5	763.2	166788.1	138740.0	201131.0	2501.8	2081.1	3017.0
0.6000000000000001	750	773.0		702.2	856.0	525.7	403.7	679.6	162767.1	131830.5	198980.1	2444.1	1977.5	2984.7
0.6000000000000001	800	798.5		729.0	870.0	540.5	378.7	711.7	158806.9	124737.4	197180.0	2382.1	1871.1	2957.7
