# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function cauchy_thick at 0x7f8e8ad06b60>; Scale Parameter = 84.5m ; Sps Parameters = [[0.00785    0.14       0.00333333 0.00053   ]
 [0.00785    0.14       0.00333333 0.00053   ]]
# control_start = random
Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS
0.2	1100	998.0		936.0	1042.0	422.4	314.8	554.5	153734.2	122096.6	184556.1	1206.8	958.9	1448.8
0.2	1150	1001.5		932.0	1053.0	375.3	253.5	525.6	144761.9	113007.5	180819.6	1137.1	887.8	1419.4
0.2	1200	1031.5		973.0	1072.8	396.8	292.1	565.7	151869.4	115948.7	183917.1	1192.2	913.7	1443.7
0.4	0	1085.0		1080.0	1089.0	3651.5	3414.0	4033.9	496006.3	486634.0	505237.9	3893.6	3820.1	3966.8
0.4	50	1073.0		1067.0	1078.0	3705.8	3408.0	4152.1	452580.8	442286.6	460949.9	3552.8	3471.9	3618.5
0.4	100	1048.0		1039.0	1057.0	3378.2	3028.9	3705.0	432938.2	419409.9	449521.7	3398.6	3292.4	3528.7
0.4	150	1031.0		1018.0	1044.0	2965.6	2617.5	3358.2	458185.8	432435.5	480141.7	3596.8	3394.6	3771.7
0.4	200	1019.0		1000.2	1035.8	2545.4	2255.9	2884.0	463873.4	427401.2	497358.5	3641.4	3355.1	3904.3
0.4	250	1011.5		987.2	1028.0	2213.6	1924.4	2543.5	456145.9	417377.2	487943.6	3580.7	3276.4	3830.4
0.4	300	997.0		959.8	1020.8	1940.2	1651.9	2285.9	425546.4	390288.6	469096.1	3340.5	3066.7	3682.4
0.4	350	986.5		948.0	1020.0	1726.4	1433.7	2015.4	395623.5	362431.0	463683.4	3105.6	2845.6	3640.9
0.4	400	975.0		916.5	1010.0	1490.6	1251.7	1805.8	375732.8	338475.9	422162.9	2949.5	2657.0	3314.0
0.4	450	978.0		925.0	1019.0	1395.5	1125.9	1645.7	349976.9	312634.6	403486.8	2747.3	2454.2	3168.6
0.4	500	962.0		899.2	1008.0	1193.0	970.6	1530.9	316903.4	276568.2	372006.0	2487.7	2173.2	2920.2
0.4	550	958.0		901.5	1006.0	1082.0	886.2	1351.3	291994.2	252908.7	344736.1	2292.2	1986.6	2706.2
0.4	600	958.0		879.5	1006.0	955.6	757.5	1211.3	272283.5	226399.9	322989.2	2137.4	1778.0	2535.5
0.4	650	968.0		895.5	1014.8	899.4	687.8	1160.9	267118.3	218816.8	309242.1	2096.9	1719.0	2431.8
0.4	700	980.5		904.0	1028.8	826.4	634.0	1081.4	248278.3	212385.8	301445.4	1949.0	1669.6	2367.1
0.4	750	970.0		915.5	1026.0	761.2	579.8	963.8	232256.3	199508.7	267244.1	1823.2	1566.6	2097.9
0.4	800	983.5		928.2	1036.0	687.2	549.9	890.0	222231.5	187789.5	262280.5	1746.5	1474.1	2059.5
0.4	850	988.5		921.2	1044.2	661.0	485.9	883.4	220641.1	177282.4	255843.6	1732.0	1394.8	2008.4
0.4	900	994.5		936.5	1044.0	586.1	429.6	805.7	202180.5	166677.7	237658.1	1587.1	1308.9	1865.6
0.4	950	991.5		921.0	1040.0	568.8	389.1	747.9	191795.5	154862.9	229219.3	1505.6	1215.7	1799.4
