# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 3000
# Kernel = <function exponential_kernel at 0x7f858d84eb60>; Scale Parameter = 119m ; Sps Parameters = [[0.00833    0.14       0.00285714 0.00053   ]
 [0.00833    0.14       0.002      0.00053   ]]
# control_start = random
Frac_B	N	N_a	N_b	Radius	Med_KE_A	Med_KE_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.0	1110	1110	0	1031.0	0.0	1150	1031.0	980.0	1081.0	219.4	150.7	319.0	111927.6	87751.8	133135.2	932.4	731.0	1109.0	87751.8	133135.2	111927.6	0.0	0.0	0.0
0.0	1110	1110	0	1036.5	0.0	1200	1036.5	969.0	1088.0	212.9	151.9	287.7	103124.6	82437.4	132582.6	859.0	686.7	1104.5	82437.4	132582.6	103124.6	0.0	0.0	0.0
0.2	1110	888	222	870.0	218.0	0	1088.0	1084.0	1092.0	3844.9	3511.0	4266.4	458493.6	449806.3	466719.7	3819.3	3746.9	3887.8	333984.8	347846.7	340642.5	112547.4	123809.6	117433.1
0.2	1110	888	222	857.0	214.0	50	1070.5	1064.0	1076.0	3719.7	3292.8	4039.8	404105.9	395258.3	414089.2	3366.7	3292.5	3449.4	299879.0	316325.0	308328.6	91917.1	99949.1	95706.8
0.2	1110	888	222	824.0	206.0	100	1029.5	1016.0	1042.0	3057.6	2688.4	3515.1	414669.1	389956.4	441368.5	3454.2	3248.3	3676.6	307910.2	348449.8	326217.2	82034.0	93823.9	87611.4
0.2	1110	888	222	782.0	195.0	150	978.0	937.2	1009.0	2526.7	2120.7	2904.0	421222.6	385562.6	482204.0	3509.6	3211.7	4017.2	307745.9	383942.6	336300.4	76433.9	97897.0	86493.8
0.2	1110	888	222	701.5	174.0	200	876.0	789.5	941.5	1850.7	1605.0	2295.2	362423.3	305849.2	417172.4	3019.0	2547.7	3475.0	244961.3	331741.8	287206.5	60053.7	83691.2	73291.6
0.2	1110	888	222	618.5	152.0	250	771.0	655.5	865.5	1434.3	1138.5	1790.7	273216.7	208054.0	336417.3	2277.8	1735.6	2803.3	166882.5	269630.8	219492.5	42355.8	67277.1	54216.9
0.2	1110	888	222	592.0	146.5	300	743.5	624.5	823.2	1135.4	856.4	1357.7	229288.2	175308.0	283101.1	1910.0	1461.9	2358.2	139748.5	224984.9	182144.3	35228.2	57044.6	45859.3
0.2	1110	888	222	559.0	141.5	350	701.5	607.2	807.0	830.0	685.1	1076.4	183158.1	143398.8	234542.6	1525.7	1195.2	1955.4	115024.5	187243.2	147089.6	28456.2	46955.3	36747.3
0.2	1110	888	222	562.0	141.5	400	709.5	602.8	788.2	695.6	520.0	907.5	162832.7	119700.5	196974.8	1358.1	997.1	1640.8	96221.5	156753.7	128475.0	24083.6	39431.3	32158.8
0.2	1110	888	222	570.0	143.0	450	709.5	641.2	820.0	557.3	443.1	775.7	145713.0	115780.7	188885.7	1215.1	964.5	1573.4	91843.7	150989.6	116442.6	22887.1	37653.5	29003.8
0.2	1110	888	222	608.5	153.0	500	762.0	663.8	829.5	508.2	386.3	664.2	146148.1	112406.3	173126.9	1217.4	936.3	1442.1	89523.5	139015.8	116469.3	22392.0	34687.8	29488.6
0.2	1110	888	222	628.0	157.5	550	784.5	699.2	865.0	474.6	376.9	632.9	143824.0	109953.1	177726.7	1199.4	915.9	1480.5	86826.5	141976.4	115186.0	22533.3	35813.1	28665.1
0.2	1110	888	222	643.0	162.0	600	804.5	721.8	875.8	416.6	315.2	551.0	133669.7	106156.0	162629.5	1114.7	885.4	1354.7	84243.8	129951.5	106935.1	21277.3	32231.7	26853.9
0.2	1110	888	222	670.0	168.0	650	835.5	754.2	904.0	377.9	287.2	511.7	128800.0	103607.5	161563.5	1073.8	863.1	1346.1	82687.8	128958.6	103402.4	20778.2	32424.8	26083.2
0.2	1110	888	222	688.0	174.0	700	861.0	780.0	930.8	343.9	253.3	479.1	131343.3	102742.5	159354.6	1094.1	855.8	1327.9	82842.0	126925.4	105619.3	20727.1	32576.6	26480.0
0.2	1110	888	222	717.0	180.0	750	895.0	821.0	965.5	348.4	258.0	475.9	130228.2	100836.8	162965.6	1084.8	841.3	1357.5	79847.0	130568.4	103547.2	19994.6	32748.5	26125.9
0.2	1110	888	222	735.5	184.0	800	921.5	836.8	974.0	307.0	231.8	423.1	126593.5	103598.4	150729.7	1054.5	863.9	1255.6	82804.0	121333.4	101144.6	20606.5	30483.7	24953.9
